商品ID,日期,真实平台价格,品牌,型号,商品来源网站,商品来源店铺,数据获取时间,商品原标题
A4_TB_36263,2026-04-22,49,晨光,70g,淘宝网,多多好货文具采购店,2026-04-22 12:12:52,晨光a4打印纸整箱a4纸复印纸80g克实惠装70g双面打印白纸一箱5包
A4_TB_82762,2026-04-22,15,未知品牌,80g,淘宝网,天章/TANGO 新绿天章a4打印纸 复印纸70克a4打印80g办公用整箱批发加厚双面打印白学生家用草稿,2026-04-22 12:12:52,百亿补贴复印纸好评
A4_TB_80991,2026-04-22,13,得力,70g,淘宝网,deli得力文具旗舰店,2026-04-22 12:12:52,得力打印纸复印纸a4打印纸70g单包500张办公用纸A4打印白整箱草稿免邮学生用打印80g整箱打印包邮
A4_TB_35788,2026-04-22,10,未知品牌,70g,淘宝网,asub旗舰店,2026-04-22 12:12:52,卡特白无酸复印纸A4打印纸复印纸批发500张70g加厚80克a4打印资料办公用包邮
A4_TB_21391,2026-04-22,10,未知品牌,80g,淘宝网,萌之琦旗舰店,2026-04-22 12:12:52,打印资料网上复印数码快印彩a4纸讲义文件书籍成书同城江苏次日达
A4_TB_17484,2026-04-22,5,未知品牌,70g,淘宝网,俞梵办公用品旗舰店,2026-04-22 12:12:52,入选70g复印纸好评
A4_TB_33284,2026-04-22,4,未知品牌,70g,淘宝网,7年老店,2026-04-22 12:12:52,A4纸打印纸整箱2500张复印纸70g试卷纸草稿纸a4白纸80g加厚双面办公用打印批发包邮厂家直销学生护眼
A4_TB_71835,2026-04-22,10,未知品牌,80g,淘宝网,萌之琦旗舰店,2026-04-22 12:12:52,打印资料网上彩色文件a4复印印刷书籍装订成册上海江苏满减店同城
A4_TB_51961,2026-04-22,10,未知品牌,80g,淘宝网,12年老店,2026-04-22 12:12:52,打印资料复印服务试卷培训教材书本A4B5彩打画册论文集胶装印刷名
A4_TB_93528,2026-04-22,1,未知品牌,80g,淘宝网,圣蒂亚罗旗舰店,2026-04-22 12:12:52,打印资料次日达材料装订成册铜版纸a4文件彩色网上复印刷画册书籍
A4_TB_98623,2026-04-22,9,未知品牌,80g,淘宝网,喜铺满旗舰店,2026-04-22 12:12:52,打印资料网上快印A4印刷书本书籍装订成册彩色印刷铜版纸论文
A4_TB_97638,2026-04-22,10,未知品牌,80g,淘宝网,5年老店,2026-04-22 12:12:52,成都打印资料网上打印店复印印刷书本装订成册书籍a4纸彩印次日达
A4_TB_79629,2026-04-22,5,未知品牌,80g,淘宝网,适菱旗舰店,2026-04-22 12:12:52,山东打印资料教辅书籍印刷定制胶装复印a4彩色文件考研讲义a3笔记
A4_TB_70413,2026-04-22,10,未知品牌,80g,淘宝网,梧迪旗舰店,2026-04-22 12:12:52,打印资料网上打印店彩色讲义印刷书籍装订成书复印a4文件彩打浙江
